SP_PRIMARY	PDB
A0A003	6kv9;6kvc
A0A009I821	7m4x;7m4y;7ryg;7m4w;7ryf;7m4z;7ryh
A0A009L7S8	7m4z;7ryh;7ryf;7m4y;7ryg;7m4w;7m4x
A0A009QSN8	6v3d;6v3a;6v3b;6v39
A0A010	6j8v;5b01;5b0i;5b00;5b0l;5b0k;5b03;6j8w;5b0m;5gww;5b02;5gwv;5b0j
A0A011	3vka;3vkb;3vkd;3vkc;3vk5
A0A014C6J9	6br7
A0A014CLK2	7m4w
A0A014M399	7dg0;7dfx
A0A016UNP9	2md0
A0A016UZK2	7a4a
A0A017T5A5	6gmf
A0A022IPE7	7ryf;7m4z;7ryg;7m4y;7ryh
A0A022MQ12	6sj3;6sj2;6sj0;6sj1;6sj4
A0A022MRT4	6tm4;6six;6siw;6siy;6siz
A0A023DFE8	6n9r;6n9i;6n9q
A0A023FDY8	7s58;7s59;7so0;7s4n
A0A023GPI4	2m6j
A0A023GPI5	4ccs
A0A023GPI8	4k20;4k21;4k1y;4k1z
A0A023GPJ0	4ntq
A0A023GUL3	5f5l;5f5n
A0A023GUP0	2my5;5wpx;5wpy;2my6
A0A023GYI2	2nb6
A0A023GYK7	2nb5
A0A023H437	5fuj;5fuk
A0A023I7E1	5xbz;5xc2
A0A023J4Z7	6hj6;6hjc
A0A023J6X7	6eio
A0A023LLI1	5z6p
A0A023NA98	7d5y
A0A023PKG5	5tii;5thq
A0A023R6W2	5j36;5j37;5j09
A0A023T3X2	4v2i
A0A023UGN9	6zjw;6sed;6h1p;6zjv;6zjq;6zju;6zjr;6zjt;6sea;6zjs;6etz;6se8;6zjx;6zjp;6sec;6seb;6se9
A0A023VSF1	5bp8
A0A023X3C8	7lq4
A0A023X3Z4	7lq3;7lq4;7lq2
A0A024B5J2	6y5x;6y5y
A0A024B7W1	7kcr;5m5b;7bua;5h30;6ld1;6ld2;6mid;6nip;6lnt;5h32;5lcv;6lnu;6ld4;5ulp;6plk;6rwz;5lbs;6jfh;6jfi;5ire;5h37;5mrk;5kve;5iz7;5lbv;5uhy;5y6m;5u4w;7cbp;5goz;5y6n;6co8;5jmt;5gp1;5nju;6niu;7bpk;7m1v;5kqr;5njv;5y0a;5kqs;6ld5;6i7p;6s0j;6um3;6ld3;7bu8;7bq5;7bsd;7c2t
A0A024CX39	6ii9;6ii8;6ii4
A0A024E1X5	6lxj
A0A024E2M1	4r8w
A0A024E3M6	7z4o
A0A024E3P0	4r8w
A0A024E3Q2	4mwj;4mwq;4mwu;4mwr;4mwv
A0A024FRL9	5wih;6ol8
A0A024FSR7	6rec;6re8;6rdi;6rdo;6rdx;6res;6rdc;6rdw;6rd7;6re2;6rdd;6rdf;6rd4;6rd5;6rda;6rdq;6rdt;6rdk;6rdu;6rdr;6rdl;6re0;6rdn;6reb;6re3;6ref;6rep;6ret;6rd8;6re5;6ree;6rdz;6rdh;6re6;6re9;6rd9
A0A024FSS5	7ar9;7ard
A0A024L327	6iny
A0A024L8R9	6ysu;6yst;6yss
A0A024L8Y8	7eft
A0A024LAA6	7vhp
A0A024QYS6	5gqg;5gqc;5gqf
A0A024R326	5lks
A0A024R5E3	7o9x;7o9z;7o9t
A0A024R644	6r99
A0A024RAS2	7trf
A0A024RAV5	2msd;7o83;2mse;2msc
A0A024RDQ7	7po1;7po0
A0A024S820	6h7t;6i1q;6i1t
A0A024UZE1	4z0f;5nqf;4z0e;4z09;4z0d
A0A024V0B1	4zx9;4zyq;4zy1;4zy0;4zx8;5cbm
A0A024X9S2	7kiy
A0A031LR83	7sbh
A0A031LXI5	6pt7
A0A031WDA8	5eri
A0A031WDE4	6vxe
A0A031WIF2	7l00
A0A034W4L8	6djw;6djx
A0A037USE5	4n1v;5l8z;5ogu
A0A037Y8L6	6vyy;7k00;6vz7;6vz5;6x7k;7s1g;6u48;6xdq;7lvk;6xii;6vyr;6wd0;6wd7;6vyu;6ogf;6wd8;7s1h;6wd2;6wd3;6vyz;6om6;7sa4;7pju;7s1i;6vz3;6x7f;7cpj;6vyq;6x9q;6x6t;6xgf;7tos;6vz2;6vzj;6wd4;6vu3;6xdr;6ogg;6osq;6xij;6wd1;7ug7;7s1k;6vyt;6vys;7s1j;6osk;6wd9;6vyw;6lkq;6ogi;6wd5;6wda;6pj6;6vyx
A0A037YE18	7seu
A0A037YMJ1	7jz6
A0A037YQ84	6s0k
A0A037YRW7	7ww6;7x9n;7x9o;7x9h;7ww8;7ww9;7x9i;7wwa;7x9k;7x9l;7x9j;7ww7;7ww5
A0A045GRS4	5v93
A0A045GT82	5v93
A0A045GWT8	7pxd;7px9;7pxb
A0A045GXQ2	5v93
A0A045H2R3	7rwi
A0A045H4H6	5v93
A0A045H4J2	5v93;7f0d
A0A045H5T7	5v93;7f0d
A0A045H6C3	6jbz
A0A045H760	7f0d;5v93
A0A045HFG5	8d6x;7pxa;8d6v;8d6y;7pxd;8d6w
A0A045HLX7	5v93;7f0d
A0A045HTN2	5v93
A0A045HTP7	7kgb;7msc;7mt7;7mt3;7msm;7mt2;7msz;7f0d;7msh
A0A045HTX8	7p1t
A0A045HU18	5v93;7f0d
A0A045HU86	7f0d;5v93
A0A045HUG3	5v93
A0A045HUU0	7f0d;5v93
A0A045HUW8	6jbz
A0A045I821	5v93
A0A045I839	5v93
A0A045IDB8	7f0d;7mt7;7msc;7msm;5v93;7kgb;7mt2;7mt3;7msz;5v7q;7msh
A0A045IDD2	5v93;7f0d
A0A045IH65	7bes
A0A045IMI5	7f0d;5v93
A0A045IQ64	5v93;7f0d
A0A045IR27	7rwi
A0A045IVA2	7f0d;5v93
A0A045IWV9	5v93;7f0d
A0A045IWX2	5v93
A0A045IXT2	5v93
A0A045IXU4	5v93;7f0d
A0A045IZS3	7elt;7ev2;7ent;7ens;7el8;7ev3
A0A045J099	7pu7
A0A045J166	7w2i
A0A045J3H4	7oqh
A0A045J9E2	7rwi
A0A045J9H1	5v93;7f0d
A0A045J9M3	7f0d;5v93
A0A045JAK4	7f0d;5v93
A0A045JER3	5v93
A0A045JF49	5v93
A0A045JFF4	5zr4
A0A045JJU1	7f0d;5v93
A0A045JK28	5v93;7f0d
A0A045JKV0	5v93
A0A045JMN7	5v93
A0A045JPX7	7pxd;7pxb;8d6x;8d6y;7pxa;7px9
A0A045JQ63	6s0m
A0A045JVY9	5v93
A0A045JW21	5v93
A0A045JW48	7f0d;5v93
A0A045K0G1	7f0d;5v93
A0A045KE74	7scf;7sey;7sex;7sew;7sf5;7sf4
A0A045KH53	7e4j
A0A045KH60	7s0s
A0A045KJ85	7f0d;5v93
A0A045KKY9	7f0d;5v93
A0A051TYQ1	6ihg
A0A059PIQ0	7a8a;7a87;7a8n;7a7m;7a7o;7a86;7a7u;7a7t;7a7n;7a8c;7a8b;7a8e;7a81;7a7x;4zf3;7a8k;7a88;7a8f;7a8i;6h01;7a8m;7e53;7a7y;7a8l;7a82;7a7s;7a7w;7a8j;7a80;7a83;5dy6;7a7q;7a84;5yr2;7a8g;7a8h;5mfc;5bt0;5btt;5wwk;7a7p;7a7z;7a89;7a8d;4xgy;7a8o;7a7r;7a7v;7a85
A0A059PIR4	7xj4;7xis;7xit;7xj5;7xiu;7xj7
A0A059PIR9	5yr3;6l02
A0A059Q1L6	7ksn
A0A059Q5E8	5iqk
A0A059Q6U2	5zji
A0A059QA82	6mjz
A0A059STC4	7ksc
A0A059T4A1	4xq5;4xqo;6wf1;5th1;5tgv;5th0;5thb;4xqu;5tgo;4qy0;5thc;4qy2;5tgu;4qy1
A0A059TC02	4r1t;4r1s
A0A059TFW7	2n1c;2n30
A0A059TXD8	5m99
A0A059U759	4pvi;4pva
A0A059VAZ3	7fie;4ypl;7cra;7cr9;7fd5;7fid;7fiz;7fd4;4ypn;4ypm;5e7s;6wqh
A0A059VBQ9	6iig;5yt8;6kcj;6ijt;5ykc;6in5;5yt9
A0A059VJE6	7mc9;6w81
A0A059WF38	7ccg
A0A059WLS9	7ewv;7ewz;7ewx;7ex0;7ex1;7ewy;7ex3;7ex8;7ewu;7ex4;7ex6;7eww;7ex2;7ex9;7ex7
A0A059WV44	5hmn
A0A059WYP6	5tui;5tue;5tuf
A0A059WZ16	5f49;5u08;5f48;5f46;5f47
A0A059X981	5ht0;6mn1;6mmz;6mn0;7kes;6mn2
A0A059ZFC5	6jog;6j3m;6jnh
A0A059ZPG7	5vpu
A0A059ZPP5	6y9d;6y8s;6zgp;6y8j
A0A060BIS8	6s9j
A0A060BKX4	7eai;7eak;7c9x;7eah
A0A060D9Z7	6dhi
A0A060GPP4	4pbe
A0A060GPQ0	4xag
A0A060GPQ5	4xd3
A0A060GSW0	4pcn
A0A060GSW5	4xd5
A0A060GSX0	4xd4;6bhl
A0A060GTM0	4pbf
A0A060GTM7	4xay
A0A060GYS1	5wcr;6b2f;5wiz;4pcp;5wms
A0A060GYS7	6bh7;4xaz;6bhk
A0A060GZX0	5wj0;5wcp;4xaf;5wcw
A0A060GZX7	4xd6
A0A060H1D7	6aob;6aoa;6ao9
A0A060H7L8	5w8y
A0A060M4R1	7ev5
A0A060N399	7cy3;7cy9
A0A060NBN8	6bx1
A0A060P168	4you;4yoy;4yor;4yot;4yow;4yov;4yox
A0A060SC37	6xuv;6xuu;6xut
A0A060SRI5	5no7
A0A060TAG5	7kd9;6w54
A0A060XYS9	6urs
A0A060Y6X8	5f1s
A0A060ZAA1	5unk
A0A061ACU2	4pkx;4pke
A0A061BSU4	5jsz
A0A061FLD4	6cth
A0A061I3X8	7nwg;7nwi;7nwh
A0A061IH64	5mhi
A0A061J677	7ase
A0A061LQM0	6ba9;6ba8
A0A062C259	6v39;6v3a;6v3e;6v3b
A0A062C3F9	6v3a;6v39;6v3b
A0A062UZ78	6bxm;6bxo;6bxn
A0A062V290	6u43;6u44;6u45
A0A062WLD9	5jj5
A0A063X741	7qh4;7qgu
A0A063X745	7qh4;7qgu;7s9u;7sae
A0A063X754	7qh4;7sae;7s9u;7qgu
A0A063X7B3	7qh4;7qgu
A0A063X7V1	7qgu;7qh4
A0A063X7Y1	7rmw
A0A063X8U6	7qh4;7sae;7qgu;7s9u
A0A063XB36	7qh4;7qgu;7s9u;7sae
A0A063XB41	7qgu;7qh4
A0A063XB64	7qgu;7qh4
A0A063XCB6	7qgu;7s9u;7sae;7qh4
A0A063XCG5	7s9u;7sae;7qgu;7qh4
A0A063XCH0	7sae;7s9u;7qgu;7qh4
A0A063XCJ2	7qh4;7qgu
A0A063XCK9	7qgu;7qh4
A0A063XCN0	7qgu;7qh4
A0A063XCP1	7sae;7qh4;7s9u;7qgu
A0A063XCS1	7qgu;7qh4
A0A063XCT1	7sae;7qh4;7s9u;7qgu
A0A063XCU1	7qgu;7qh4
A0A063XD11	7qgu
A0A063XDX5	7qgu;7qh4
A0A063XEI0	7qgu
A0A063XF22	7qgu;7s9u;7sae;7qh4
A0A063XFB4	7qh4;7qgu
A0A063XFC1	7qh4;7qgu
A0A063XFQ7	7qh4;7qgu
A0A063XHT6	7qgu;7qh4
A0A063XHU4	7qgu;7qh4
A0A063XHU6	7s9u;7sae;7qh4;7qgu
A0A063XIS2	7qgu;7s9u;7qh4
A0A063Y6V3	6hns
A0A064CXU8	6slo
A0A066Q637	7jz8;7jz7;6nva
A0A066QLB1	7byy
A0A066R7V5	2ru9
A0A066T6R7	7qym
A0A066TYR3	7p22
A0A066ZR71	5y34
A0A067DRZ4	7uw9;7uwc;7uwb;7uwa;7uwd
A0A067E4V9	7uwa;7uw9;7uwc;7uwb
A0A067E666	5mmq;6zuc;5mmx;5mn0
A0A067F7P5	7uwc;7uwd;7uw9;7uwa;7uwb
A0A067FFQ8	7uwd;7uwb;7uwa;7uw9;7uwc
A0A067FXK2	7uwa;7uw9;7uwc;7uwd;7uwb
A0A067G267	7uw9;7uwc;7uwd;7uwb
A0A067HWN0	4wxt
A0A067N4E7	6fsk;6fsl
A0A067SLB9	5n4b;5n4e;5n4c;5n4d
A0A067XG63	4brz
A0A067XG64	4c1p;4c1o
A0A067XG66	4c6h
A0A067XG67	4l0k
A0A067XG68	4l1e
A0A067XG69	4l1e
A0A067XG70	4l2j
A0A067XG71	4l8q
A0A067XG72	4lmv
A0A067XG73	4lmw
A0A067XG75	4n59;4n58
A0A067XP79	7s96;7s97
A0A067XP89	7s96;7s97
A0A067Y6L0	6wxl
A0A067Y7N7	4mx0;4mwy;4mwl;4mwx;4mww
A0A067YS87	7tja;7tlf
A0A067YSJ2	7tja;7tlf
A0A067YX61	5iqv;5trq;5iqt;5iqs;5t22;5j4r;5iqu
A0A067YZ73	5bqy
A0A067YZV9	5bny;5bqz
A0A067Z050	5bqy
A0A068A5A2	6d9t
A0A068B409	7edk
A0A068B6Q6	2nay
A0A068C8U8	5zvp;6jik
A0A068EP60	6yf7
A0A068F6N5	4pel;4pem
A0A068FT77	6jxg
A0A068J419	6uye;6pci
A0A068JLL8	6uan
A0A068MZK2	7r0w
A0A068N621	7lgj;7lg5;7txu;7txv;7lgq
A0A068PC91	5y33
A0A068PS59	6k0u;6k0p;6k0s;6k0q;6k0m;6k0v;6k0n
